no,open_date,close_date,is_short,open_rate,close_rate,stake_amount,amount,profit_abs,profit_ratio,funding_fees,exit_reason,enter_tag,leverage
37,2021-10-19 04:00:00+00:00,2021-11-17 04:00:00+00:00,False,62634.83,59079.01,7704.08409,0.123,-664.21514291,-0.08617289135915251,-219.36388174538135,exit_signal,PORTEUR,1.0
38,2021-12-23 04:00:00+00:00,2021-12-27 04:00:00+00:00,False,48509.29,51007.02,7373.41208,0.152,363.36727543,0.04925612167721211,-8.724445014499857,exit_signal,PORTEUR,1.0
39,2021-12-28 04:00:00+00:00,2021-12-31 04:00:00+00:00,False,49826.47,47185.18,7523.79697,0.151,-411.70226984,-0.05469266691007086,-5.543100263254,exit_signal,PORTEUR,1.0
40,2022-01-01 04:00:00+00:00,2022-01-02 04:00:00+00:00,False,46789.55,47330.76,7345.95935,0.157,75.35058695,0.010252293389665657,-2.230938711851824,exit_signal,PORTEUR,1.0
41,2022-01-04 04:00:00+00:00,2022-01-05 04:00:00+00:00,False,46313.95,46412.87,7363.91805,0.159,6.14199211,0.000833648963363418,-2.214505699919952,exit_signal,PORTEUR,1.0
42,2022-02-02 04:00:00+00:00,2022-02-04 04:00:00+00:00,False,38540.28,37282.8,7399.73376,0.192,-249.16595252,-0.033655458409911486,-0.4507768423046035,exit_signal,PORTEUR,1.0
43,2022-02-08 04:00:00+00:00,2022-02-12 04:00:00+00:00,False,44162.22,42279.99,7242.60408,0.164,-319.98918523,-0.04415943037365403,-4.215204008998699,exit_signal,PORTEUR,1.0
44,2022-02-16 04:00:00+00:00,2022-02-19 04:00:00+00:00,False,43970.9,40107.7,7079.3149,0.161,-632.6079822,-0.08931539918952597,-3.864454896047518,exit_signal,PORTEUR,1.0
45,2022-02-26 04:00:00+00:00,2022-03-01 04:00:00+00:00,False,39380.0,43140.9,6773.36,0.172,639.73732091,0.09440183485064252,-0.040681689816098224,exit_signal,PORTEUR,1.0
46,2022-03-02 04:00:00+00:00,2022-03-04 04:00:00+00:00,False,44320.3,41441.1,7091.248,0.16,-471.69991424,-0.0664853608488838,-4.167002244198881,exit_signal,PORTEUR,1.0
47,2022-04-15 04:00:00+00:00,2022-04-17 04:00:00+00:00,True,40180.0,40215.7,6870.78,0.171,-11.92936797,-0.0017371150928743035,1.0491643833765767,exit_signal,HOSTILE,1.0
48,2022-04-19 04:00:00+00:00,2022-04-20 04:00:00+00:00,True,40683.2,41372.5,6875.4608,0.169,-122.68549124,-0.01785289280862981,0.7399154052722985,exit_signal,HOSTILE,1.0
49,2022-04-21 04:00:00+00:00,2022-04-22 04:00:00+00:00,True,41673.9,40470.5,6792.8457,0.163,189.66942592,0.02793590734352129,0.2099945190491548,exit_signal,HOSTILE,1.0
50,2022-04-24 04:00:00+00:00,2022-04-27 04:00:00+00:00,True,39750.1,38324.8,6916.5174,0.174,240.4976426,0.03478888834658146,-0.7120411042408861,exit_signal,HOSTILE,1.0
51,2022-04-28 04:00:00+00:00,2022-06-12 04:00:00+00:00,True,39333.0,27538.2,7001.274,0.178,2132.55337243,0.30474741918703085,39.030509232254865,exit_signal,HOSTILE,1.0
52,2022-06-14 04:00:00+00:00,2022-08-02 04:00:00+00:00,True,22106.5,22845.3,8090.979,0.366,-219.84929294,-0.027185742612394388,58.777686463114826,exit_signal,HOSTILE,1.0
53,2022-08-23 04:00:00+00:00,2022-08-24 04:00:00+00:00,True,21228.5,21253.1,7981.916,0.376,-17.28771175,-0.002166943366726107,-0.051570946534170395,exit_signal,HOSTILE,1.0
