pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
BNB/USDT:USDT,4741.2799,9459.4521,22.57,2023-09-25 20:00:00+00:00,2023-09-25 20:00:00+00:00,210.07,210.07,0.0005,0.0005,0,-0.0010005002501250625,-9.4594521,TP2,418.03,-0.99,210.26,-0.0009524421593830601,210.06,210.69,False,,1.0,True,1695672000000,1695672000000,"[{'amount': 45.03, 'safe_price': 210.07, 'ft_order_side': 'sell', 'order_filled_timestamp': 1695672000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9464.18182605}, {'amount': 22.46, 'safe_price': 210.07, 'ft_order_side': 'buy', 'order_filled_timestamp': 1695672000000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 4720.531286099999}, {'amount': 22.57, 'safe_price': 210.07, 'ft_order_side': 'buy', 'order_filled_timestamp': 1695672000000, 'ft_is_entry': False, 'ft_order_tag': 'TP2', 'cost': 4743.650539949999}]",0.0,0
ETH/USDT:USDT,9449.5095,9449.5095,4.545,2023-11-11 00:00:00+00:00,2023-11-11 00:05:00+00:00,2079.1,2082.28,0.0005,0.0005,5,0.00039251529632191554,3.71093156,trailing_stop_loss,20.8,-0.99,2082.28,-8.992856649370218e-05,2077.71,2082.46,False,,1.0,False,1699660800000,1699661100000,"[{'amount': 4.545, 'safe_price': 2079.1, 'ft_order_side': 'buy', 'order_filled_timestamp': 1699660800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9454.23425475}, {'amount': 4.545, 'safe_price': 2082.28, 'ft_order_side': 'sell', 'order_filled_timestamp': 1699661100000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9468.6945813}]",-1.2854323912912615,5
ETH/USDT:USDT,9453.96676,9453.96676,4.036,2023-12-10 00:00:00+00:00,2023-12-10 00:00:00+00:00,2342.41,2342.1,0.0005,0.0005,0,-0.0012981928406968495,-12.2792085,trailing_stop_loss,23.43,-0.99,2344.76,-0.0008639881028476015,2342.1,2346.78,False,,1.0,False,1702166400000,1702166400000,"[{'amount': 4.036, 'safe_price': 2342.41, 'ft_order_side': 'buy', 'order_filled_timestamp': 1702166400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9458.69374338}, {'amount': 4.036, 'safe_price': 2342.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1702166400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9457.4419578}]",-1.5747073195047998,6
ETH/USDT:USDT,9440.35636,9440.35636,4.012,2023-12-10 04:00:00+00:00,2023-12-10 08:30:00+00:00,2353.03,2342.19,0.0005,0.0005,270,-0.005761248742668789,-54.41543533,trailing_stop_loss,23.54,-0.99,2342.19,-0.006689454787790372,2340.31,2360.69,False,,1.0,False,1702180800000,1702197000000,"[{'amount': 4.012, 'safe_price': 2353.03, 'ft_order_side': 'buy', 'order_filled_timestamp': 1702180800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9445.07653818}, {'amount': 4.012, 'safe_price': 2342.19, 'ft_order_side': 'sell', 'order_filled_timestamp': 1702197000000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9401.564713139998}]",-1.5067440143071997,6
BNB/USDT:USDT,3329.17,3329.17,13.0,2023-12-20 08:00:00+00:00,2023-12-20 20:05:00+00:00,256.09,255.67,0.0005,0.0005,725,-0.0022599768820402107,-7.52760916,trailing_stop_loss,2.57,-0.99,255.67,-0.015509980655813882,255.0,261.45,False,,1.0,False,1703059200000,1703102700000,"[{'amount': 13.0, 'safe_price': 256.09, 'ft_order_side': 'buy', 'order_filled_timestamp': 1703059200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3330.8345849999996}, {'amount': 13.0, 'safe_price': 255.67, 'ft_order_side': 'sell', 'order_filled_timestamp': 1703102700000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 3325.371855}]",1.2588308447,2
SOL/USDT:USDT,2460.6123,5132.84724,24.65,2024-01-09 04:00:00+00:00,2024-01-09 09:45:00+00:00,99.822,99.922,0.0005,0.0005,345,0.017849457627797983,91.66434859,trailing_stop_loss,0.999,-0.99,99.922,-0.03775137227711334,99.464,103.971,False,,1.0,False,1704772800000,1704793500000,"[{'amount': 51.42, 'safe_price': 99.822, 'ft_order_side': 'buy', 'order_filled_timestamp': 1704772800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 5135.41366362}, {'amount': 26.77, 'safe_price': 103.357, 'ft_order_side': 'sell', 'order_filled_timestamp': 1704776400000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 2768.2503234449996}, {'amount': 24.65, 'safe_price': 99.922, 'ft_order_side': 'sell', 'order_filled_timestamp': 1704793500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2464.30883865}]",-0.251205685,1
ETH/USDT:USDT,9470.10024,9470.10024,3.656,2024-01-12 04:00:00+00:00,2024-01-12 07:50:00+00:00,2590.29,2592.89,0.0005,0.0005,230,3.245118153353206e-06,0.03074696,trailing_stop_loss,25.91,-0.99,2592.89,-0.011407545371359018,2586.25,2627.9,False,,1.0,False,1705032000000,1705045800000,"[{'amount': 3.656, 'safe_price': 2590.29, 'ft_order_side': 'buy', 'order_filled_timestamp': 1705032000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9474.83529012}, {'amount': 3.656, 'safe_price': 2592.89, 'ft_order_side': 'sell', 'order_filled_timestamp': 1705045800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9484.34564292}]",0.0,4
ETH/USDT:USDT,9469.1996,9469.1996,3.662,2024-01-12 20:00:00+00:00,2024-01-12 20:00:00+00:00,2585.8,2585.54,0.0005,0.0005,0,-0.0010999489040381966,-10.42084354,trailing_stop_loss,25.86,-0.99,2588.39,-0.00010206091978448573,2575.82,2588.65,False,,1.0,False,1705089600000,1705089600000,"[{'amount': 3.662, 'safe_price': 2585.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1705089600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9473.9341998}, {'amount': 3.662, 'safe_price': 2585.54, 'ft_order_side': 'sell', 'order_filled_timestamp': 1705089600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9472.98160374}]",0.0,4
BNB/USDT:USDT,4119.7548,8430.9612,11.62,2024-02-16 20:00:00+00:00,2024-02-17 05:15:00+00:00,354.54,357.24,0.0005,0.0005,555,0.013510115663859923,113.9602126,trailing_stop_loss,3.55,-0.99,357.24,-0.0069856857780647985,354.06,363.3,False,,1.0,False,1708113600000,1708146900000,"[{'amount': 23.78, 'safe_price': 354.54, 'ft_order_side': 'buy', 'order_filled_timestamp': 1708113600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 8435.176680600001}, {'amount': 12.16, 'safe_price': 362.03, 'ft_order_side': 'sell', 'order_filled_timestamp': 1708131600000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 4404.4859424}, {'amount': 11.62, 'safe_price': 357.24, 'ft_order_side': 'sell', 'order_filled_timestamp': 1708146900000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 4153.2043644}]",0.0,5
BNB/USDT:USDT,4733.6274,9572.6808,13.47,2024-02-20 16:00:00+00:00,2024-02-20 16:00:00+00:00,351.42,350.98,0.0005,0.0005,0,-0.00175917747072493,-16.84846442,trailing_stop_loss,3.52,-0.99,351.78,-0.0012452230203572334,350.82,352.21,False,,1.0,False,1708444800000,1708444800000,"[{'amount': 27.24, 'safe_price': 351.42, 'ft_order_side': 'buy', 'order_filled_timestamp': 1708444800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9577.4671404}, {'amount': 13.77, 'safe_price': 351.42, 'ft_order_side': 'sell', 'order_filled_timestamp': 1708444800000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 4841.472926699999}, {'amount': 13.47, 'safe_price': 350.98, 'ft_order_side': 'sell', 'order_filled_timestamp': 1708444800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 4730.064450299999}]",-1.3519470112968672,1
